*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=KniticV201_+CompactPCB2Res
*Date=13:39:41
*CreatedBy=Fritzing 0.8.7b.01.24.1bf5
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;9.6393;-49.8396;0;Bottom;Copper Fill34
2;;;56.5785;-42.0926;0;Bottom;Copper Fill22
3;;;53.5305;-25.8366;0;Bottom;Copper Fill54
4;;;48.0104;-36.9675;0;Bottom;Via1
5;;;77.1525;-6.558;0;Bottom;Copper Fill132
6;;;25.9334;-16.1846;0;Bottom;Copper Fill68
7;;;49.7078;-6.0373;0;Bottom;Copper Fill12
8;;;42.164;-32.2628;0;Bottom;Copper Fill1
9;;;26.4033;-3.4084;0;Bottom;Copper Fill61
10;;;32.7704;-31.6335;0;Bottom;Via5
11;;;75.565;-16.464;0;Bottom;Copper Fill67
12;;;59.1185;-46.69;0;Bottom;Copper Fill95
13;;;56.5785;-44.15;0;Bottom;Copper Fill21
14;10k;THT;56.6465;-48.1434;180;Bottom;R4
15;;;60.1472;-45.6613;0;Bottom;Copper Fill20
16;;;54.3052;-8.5773;0;Bottom;Copper Fill88
17;;THT;36.0725;-13.0914;-90;Bottom;solenoids
18;;;28.9604;-30.3635;0;Bottom;Via9
19;;;57.4294;-16.1846;0;Bottom;Copper Fill75
20;;;23.8633;-3.4084;0;Bottom;Copper Fill59
21;;;40.9956;-26.497;0;Bottom;Copper Fill6
22;;;63.9064;-22.7632;0;Bottom;Copper Fill3
23;;;26.4033;-1.5796;0;Bottom;Copper Fill62
24;;;49.5046;-25.3413;0;Bottom;Copper Fill120
25;;;18.034;-25.3413;0;Bottom;Copper Fill122
26;;;55.5498;-43.1213;0;Bottom;Copper Fill101
27;;;34.0828;-26.5534;0;Bottom;ArduinoDue
28;;;77.1525;-6.558;0;Bottom;Copper Fill55
29;;;76.1492;-7.5613;0;Bottom;Copper Fill56
30;;;79.6925;-6.558;0;Bottom;Copper Fill134
